ord_date,,2023-11-01,2023-11-01,2023-11-01,2023-11-01,2023-11-01,2023-11-02,2023-11-02,2023-11-02,2023-11-02,2023-11-02,2023-11-03,2023-11-03,2023-11-03,2023-11-03,2023-11-03,2023-11-04,2023-11-04,2023-11-04,2023-11-04,2023-11-04,2023-11-05,2023-11-05,2023-11-05,2023-11-05,2023-11-05,2023-11-06,2023-11-06,2023-11-06,2023-11-06,2023-11-06,2023-11-07,2023-11-07,2023-11-07,2023-11-07,2023-11-07
ord_work,,dinner_peak,late_night,lunch_peak,off_peak,pre_lunch,dinner_peak,late_night,lunch_peak,off_peak,pre_lunch,dinner_peak,late_night,lunch_peak,off_peak,pre_lunch,dinner_peak,late_night,lunch_peak,off_peak,pre_lunch,dinner_peak,late_night,lunch_peak,off_peak,pre_lunch,dinner_peak,late_night,lunch_peak,off_peak,pre_lunch,dinner_peak,late_night,lunch_peak,off_peak,pre_lunch
crm_group,rgn2_nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chengju,세종특별자치시,4,2,0,1,0,0,0,0,0,0,3,8,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0
chengju,청주시 상당구,24,20,9,7,2,19,17,12,4,2,21,19,7,4,2,46,29,12,13,3,25,20,32,23,5,25,19,0,2,0,14,26,17,8,0
chengju,청주시 서원구,96,80,54,41,20,94,82,74,36,15,166,109,79,54,16,164,102,101,112,33,187,74,118,129,40,118,74,48,44,26,136,90,76,48,35
chengju,청주시 청원구,16,9,1,2,0,8,14,0,0,0,12,3,4,3,0,11,11,2,3,1,14,11,2,4,3,7,9,0,5,0,6,14,8,1,0
chengju,청주시 흥덕구,202,134,122,78,63,221,157,142,82,56,242,167,129,83,57,310,170,173,121,87,344,168,173,161,98,221,128,116,93,42,283,123,148,105,42
gyungi,강남구,49,36,53,8,11,32,30,62,15,9,67,26,84,14,7,41,46,44,22,5,59,31,45,29,11,70,29,75,12,9,39,21,74,6,11
gyungi,강동구,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
gyungi,과천시,78,28,54,39,9,77,23,53,23,23,91,31,51,40,4,53,21,64,35,4,92,36,82,52,12,57,19,49,27,10,58,15,40,20,9
gyungi,관악구,16,14,0,1,0,15,11,4,0,0,11,14,7,1,0,8,2,6,6,1,26,21,13,9,1,22,33,7,1,0,16,16,4,0,1
gyungi,광명시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
gyungi,구로구,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
gyungi,군포시,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gyungi,금천구,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
gyungi,동작구,24,18,6,2,2,19,10,7,0,0,30,30,6,4,0,29,18,15,14,11,61,17,30,24,0,28,19,14,11,4,17,28,7,7,0
gyungi,마포구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,0,13,10,0,0,0,3,0,0,0,0,0,0,0
gyungi,서대문구,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
gyungi,서초구,243,80,205,55,41,256,92,154,30,23,251,103,139,42,23,241,118,211,79,43,303,114,210,139,53,221,105,211,68,36,240,96,172,30,39
gyungi,송파구,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
gyungi,안산시 상록구,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gyungi,안양시 동안구,0,3,4,0,3,2,4,0,0,0,0,0,0,1,0,0,9,1,1,1,1,17,1,0,0,3,11,1,1,0,2,1,1,2,0
gyungi,안양시 만안구,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0
gyungi,영등포구,1,0,0,0,0,1,0,0,0,0,2,1,2,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
gyungi,용산구,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gyungi,의왕시,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7,1,0,1,1,7,0,0,0,0,2,0,0,0,0,2,1,1,0
